Site,Variable,Month,Product,Value
ORNL,GPP,4,FluxCOM,6.964309070588236
ORNL,GPP,5,FluxCOM,7.704452808823529
ORNL,GPP,6,FluxCOM,7.372820744117647
ORNL,GPP,7,FluxCOM,5.60079355882353
ORNL,GPP,8,FluxCOM,3.704361905882353
ORNL,GPP,9,FluxCOM,1.89760545
ORNL,GPP,10,FluxCOM,0.7586305744117647
ORNL,GPP,11,FluxCOM,0.5038876402941177
ORNL,GPP,12,FluxCOM,0.48827897121212116
ORNL,GPP,1,MODIS,0.661497812
ORNL,GPP,2,MODIS,0.8345652165
ORNL,GPP,3,MODIS,1.9384113761904762
ORNL,GPP,4,MODIS,5.460240895238095
ORNL,GPP,5,MODIS,9.141913857142857
ORNL,GPP,6,MODIS,10.277914309523808
ORNL,GPP,7,MODIS,9.839033738095239
ORNL,GPP,8,MODIS,8.425874519999999
ORNL,GPP,9,MODIS,5.967828235000001
ORNL,GPP,10,MODIS,3.62792423
ORNL,GPP,11,MODIS,1.403164033
ORNL,GPP,12,MODIS,0.7520160084999999
ORNL,GPP,1,GOSIF,0.9186216740909091
ORNL,GPP,2,GOSIF,1.1816748554545453
ORNL,GPP,3,GOSIF,2.391654908695652
ORNL,GPP,4,GOSIF,6.443550552173912
ORNL,GPP,5,GOSIF,10.884558
ORNL,GPP,6,GOSIF,10.494767999999999
ORNL,GPP,7,GOSIF,9.682426
ORNL,GPP,8,GOSIF,8.745427534782609
ORNL,GPP,9,GOSIF,6.6098259347826085
ORNL,GPP,10,GOSIF,4.280182278260869
ORNL,GPP,11,GOSIF,1.9126376478260871
ORNL,GPP,12,GOSIF,1.0754557995652174
ORNL,GPP,1,NEON,0.278005899424413
ORNL,GPP,2,NEON,0.3160029069200394
ORNL,GPP,3,NEON,-0.12104669871545805
ORNL,GPP,4,NEON,1.46826237499776
ORNL,GPP,5,NEON,8.583822614480516
ORNL,GPP,6,NEON,10.893831150332158
ORNL,GPP,7,NEON,9.565673209089447
ORNL,GPP,8,NEON,6.628134738749109
ORNL,GPP,9,NEON,5.23051187273856
ORNL,GPP,10,NEON,2.3665229853788903
ORNL,GPP,11,NEON,-0.8122363521984
ORNL,GPP,12,NEON,0.9342521232099097
ORNL,ET,1,ERA5,24.652824543333335
ORNL,ET,2,ERA5,34.761707481538465
ORNL,ET,3,ERA5,59.22332868717949
ORNL,ET,4,ERA5,96.65374641410256
ORNL,ET,5,ERA5,118.5118817502564
ORNL,ET,6,ERA5,121.61321433948717
ORNL,ET,7,ERA5,122.0361339051282
ORNL,ET,8,ERA5,111.27815378333334
ORNL,ET,9,ERA5,83.13288569948718
ORNL,ET,10,ERA5,58.715243474615384
ORNL,ET,11,ERA5,38.33622133307692
ORNL,ET,12,ERA5,27.37928867794872
ORNL,ET,1,GLEAM4,21.843714435897436
ORNL,ET,2,GLEAM4,27.008587076923078
ORNL,ET,3,GLEAM4,44.27648517948718
ORNL,ET,4,GLEAM4,69.1116607948718
ORNL,ET,5,GLEAM4,95.72300120512821
ORNL,ET,6,GLEAM4,103.35239015384614
ORNL,ET,7,GLEAM4,107.5821378974359
ORNL,ET,8,GLEAM4,98.72086243589744
ORNL,ET,9,GLEAM4,72.76047002564103
ORNL,ET,10,GLEAM4,49.433500025641024
ORNL,ET,11,GLEAM4,27.438474589743592
ORNL,ET,12,GLEAM4,19.907417666666667
ORNL,ET,1,FluxCOM,9.08909126190476
ORNL,ET,2,FluxCOM,11.6405795
ORNL,ET,3,FluxCOM,26.99881761904762
ORNL,ET,4,FluxCOM,56.89866571428572
ORNL,ET,5,FluxCOM,91.24992714285715
ORNL,ET,6,FluxCOM,117.1077783809524
ORNL,ET,7,FluxCOM,118.62983504761905
ORNL,ET,8,FluxCOM,104.16978695238095
ORNL,ET,9,FluxCOM,75.29287461904762
ORNL,ET,10,FluxCOM,47.31918747619048
ORNL,ET,11,FluxCOM,18.313429261904762
ORNL,ET,12,FluxCOM,9.516951057142856
ORNL,ET,1,NEON,11.90232993103226
ORNL,ET,2,NEON,15.205115511791256
ORNL,ET,3,NEON,23.619933213290324
ORNL,ET,4,NEON,60.321896339
ORNL,ET,5,NEON,92.3159438682258
ORNL,ET,6,NEON,111.69605742933334
ORNL,ET,7,NEON,117.32004338241936
ORNL,ET,8,NEON,73.96402132423226
ORNL,ET,9,NEON,54.20924783105556
ORNL,ET,10,NEON,31.71462813589247
ORNL,ET,11,NEON,13.974441757522222
ORNL,ET,12,NEON,8.05487546121398
