Variable,Site,Product,Month,Mean,Std
GPP,TALL,CAL,8,5.033011177505668,0.8761077345126371
GPP,TALL,CAL,9,3.972321600978939,0.758280423455937
GPP,TALL,CAL,10,3.411891363716595,0.5160215960889024
GPP,TALL,CAL,11,2.5358553219811317,0.36112367149025104
GPP,TALL,CAL,12,1.242517292732416,0.24610375101248233
GPP,OSBS,DEF,1,3.729837037999115,0.301452523117637
GPP,OSBS,DEF,2,4.009849562898349,0.2945823090092007
GPP,OSBS,DEF,3,5.061439577751064,0.3982348679383014
GPP,OSBS,DEF,4,6.843342115053119,0.3255799978798874
GPP,OSBS,DEF,5,7.954361952460627,0.6108748192104931
GPP,OSBS,DEF,6,8.253520041354134,1.0608000935356272
GPP,OSBS,DEF,7,8.24315598565728,1.2541291318549859
GPP,OSBS,DEF,8,8.577988952646932,0.7798407914652185
GPP,OSBS,DEF,9,7.998705176642464,0.6022008215880812
GPP,OSBS,DEF,10,7.15914839679422,0.5352508097237867
GPP,OSBS,DEF,11,5.969339794652527,0.3537673127214783
GPP,OSBS,DEF,12,4.498594045404828,0.3742663270558736
GPP,OSBS,MODIS,1,1.694983485608364,0.08880340545021938
GPP,OSBS,MODIS,2,2.0404484522292488,0.11040702552994257
GPP,OSBS,MODIS,3,3.2863778395399206,0.33392003718092433
GPP,OSBS,MODIS,4,5.837584948594473,0.3181682670248355
GPP,OSBS,MODIS,5,7.458555450623982,0.16979983172098026
GPP,OSBS,MODIS,6,7.9742890374245645,0.22861596332158504
GPP,OSBS,MODIS,7,8.020096532793149,0.2345226651412002
GPP,OSBS,MODIS,8,7.461096557992647,0.20540004221069663
GPP,OSBS,MODIS,9,5.977541639962556,0.11282382166592972
GPP,OSBS,MODIS,10,4.128032400939433,0.11022347602470477
GPP,OSBS,MODIS,11,2.6500662734651326,0.147504793039503
GPP,OSBS,MODIS,12,1.8557921012710514,0.10596121674511741
GPP,OSBS,FLUXCOM,1,1.2927453941666667,0.18775397346982686
GPP,OSBS,FLUXCOM,2,1.399795525,0.1004919501924962
GPP,OSBS,FLUXCOM,3,1.8823139,0.14972803131988702
GPP,OSBS,FLUXCOM,4,3.059580541666667,0.23431277298112943
GPP,OSBS,FLUXCOM,5,4.612837341666666,0.3107430465085129
GPP,OSBS,FLUXCOM,6,5.486215991666666,0.31114108927182715
GPP,OSBS,FLUXCOM,7,6.3699933,0.4114545971611692
GPP,OSBS,FLUXCOM,8,6.628001425,0.24578799640593854
GPP,OSBS,FLUXCOM,9,5.95535395,0.2355038769563581
GPP,OSBS,FLUXCOM,10,4.716479383333334,0.19969169782496704
GPP,OSBS,FLUXCOM,11,3.118346125,0.24461406146059086
GPP,OSBS,FLUXCOM,12,1.7539329545454547,0.22435150479926083
GPP,OSBS,GOSIF,1,1.978877794900167,0.1283956716718146
GPP,OSBS,GOSIF,2,2.264889406590417,0.1492073739200212
GPP,OSBS,GOSIF,3,3.401968688056971,0.3320147250624045
GPP,OSBS,GOSIF,4,5.794806761295763,0.35646128874589483
GPP,OSBS,GOSIF,5,7.27977241223131,0.20141666274753964
GPP,OSBS,GOSIF,6,7.613150548146617,0.24589130330481346
GPP,OSBS,GOSIF,7,7.6691862573942275,0.19744066566032975
