Site,Variable,Month,NEON,CLM_Default,Best,Top10_Min,Top10_Max,Top10_P25,Top10_P75,Top10_Median
OSBS,ET,3,33.36251664566042,58.20104445967742,46.11867724695513,29.482680082321167,92.59623087606123,49.1812829125312,66.96949555796961,56.77405235844274
OSBS,ET,4,54.61073467019711,70.12345404999999,67.72720192273458,38.77285262743632,120.36522483825684,70.90452444156011,93.52356926600137,87.40609356562297
OSBS,ET,5,53.13978152292812,77.80516887903227,73.89846930965301,45.524215575187434,129.642490571545,77.44154400979319,100.18363923411215,92.44769732413752
OSBS,ET,6,66.28655607358658,82.36574855833334,93.98556453386942,52.074858331680296,151.36446097691854,102.4149954199791,128.3006447593371,115.67173459529877
OSBS,ET,7,72.88001589724439,78.81759301075269,91.69855696155179,50.25473739254859,140.8016253132974,96.0026548293329,117.79938437861782,109.3306627427378
OSBS,ET,8,79.3961690923785,76.7477052688172,90.08146095275879,49.5002121925354,142.14035584849697,94.50125218206836,118.46213936036632,109.50671234438497
OSBS,ET,9,61.12466745092785,68.383564325,73.4355039914449,41.43505543073018,126.45443588892618,73.40428340435028,99.06751756270727,89.7157996336619
OSBS,ET,10,45.446652485609775,56.308938443548385,59.329047541464526,34.19709030274422,96.37646970441264,60.51017774881855,77.31310889028734,73.38381415028726
OSBS,ET,11,29.587757338209745,38.240044966666666,42.10827528635661,22.782620978355407,69.12462793986002,44.0015939394633,57.059940677881244,52.6858549118042
OSBS,ET,12,23.937387187186456,30.56806550564516,34.46343345026816,17.474220272033445,66.397366442988,35.74583870412842,49.182569469175036,43.81970438361168
ORNL,GPP,1,0.5145360655686034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORNL,GPP,2,0.2760307989504294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORNL,GPP,3,-0.08872383267487784,0.062776044576,0.060923814485433776,0.0,0.4344195100223665,0.011686135508717693,0.09465866410362908,0.0327710102224822
ORNL,GPP,4,1.1585618285587964,4.4779386742559995,4.316837024387248,1.9991233636937982,6.1938179968482725,2.9751626915057754,4.366267772410895,3.701959557759123
ORNL,GPP,5,7.8674737663045775,8.209227364954838,8.37923200441269,6.5330838503825195,10.226080700052977,7.619938020185138,8.937648258214102,8.326900328543545
ORNL,GPP,6,10.122049697042824,8.408754936,8.325704937020499,6.773934740587554,10.307955285381162,7.715454859695979,8.93591443936731,8.22559778599203
ORNL,GPP,7,9.296140487846488,7.91046705915871,8.078928710335617,6.4248664935990245,9.598130479243773,7.280328878186977,8.513935437732114,7.771812914802755
ORNL,GPP,8,6.381835709192087,7.399611396789678,6.812823056620478,3.5126521506160677,8.109221150729649,4.457351944727992,6.547521880479354,5.734286131180842
ORNL,GPP,9,4.911789601845832,5.658892162848,5.2839907596239035,2.580604281930557,5.7880298736509275,2.9638796914270933,4.086228966890156,3.310007585908976
ORNL,GPP,10,2.3525374566474793,4.289099431308387,2.7988063243157337,1.7308749796910932,4.056906490663537,1.9422692445560852,2.463878045736701,2.0841692739818836
ORNL,GPP,11,-0.7214018352941794,0.2784920524416,0.13629528858571555,0.07715507557676002,0.2314290585248138,0.0895236529652643,0.12140901656110366,0.0973919950515469
ORNL,GPP,12,1.0924764452498759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORNL,ET,1,11.814956843922852,8.68902122319355,4.111784240418684,3.932640068413269,24.167799160650542,7.858203907489717,16.713378142661718,12.444606891517797
ORNL,ET,2,15.102059568790846,12.910185232690266,5.144825692155531,3.002326329288605,22.974567087891046,6.556723531821002,12.280989811211061,9.201384886804071
ORNL,ET,3,22.822612768266932,21.10538403387097,13.722384871013704,9.521833770217434,44.08037320055789,14.891089931753795,25.59516187205971,18.85266957984817
ORNL,ET,4,57.2970069586483,51.99931651666667,79.06556837558746,50.21090325514476,109.43463619550069,58.28969736099243,79.08385534584522,66.05381132364272
ORNL,ET,5,92.87266096072972,74.01310563709679,105.30963780803066,83.65935251789708,126.62022132258261,100.12810522510159,117.92140469627995,107.567939342991
ORNL,ET,6,113.25597926631973,74.67926065,101.19951153596243,83.40086037317911,125.06354212760925,100.46513674259185,115.26812930107116,107.87168792088826
ORNL,ET,7,133.16677592668287,77.11264548387096,98.07694025962583,78.53880634615498,129.99045996512137,99.4300501269679,115.03275242928535,107.89198086338658
ORNL,ET,8,84.431704811121,66.33309217204301,83.70893366106095,67.93655003270796,98.43125955520138,75.02978570999637,86.95285283173284,80.39108044101346
ORNL,ET,9,53.84567885875638,50.413951575000006,58.602008740107216,45.88964984416962,79.76811538537343,55.03785054087639,64.72275453309219,58.84826704065005
ORNL,ET,10,32.71842192923251,33.384285491935486,44.04477523219201,30.545582955883397,54.251325607299805,35.441100985052124,47.050504478235396,40.2267218808974
ORNL,ET,11,14.743835680431564,7.949415474633333,8.407433264454205,4.837500746548176,15.276057240366935,6.401912524023404,9.067096852138638,7.777459456957876
ORNL,ET,12,8.255944918732508,6.735252566129032,2.110058126625635,1.3578139992070295,11.601451371045362,2.5344494301750657,5.152555651756214,3.6510284043033607
