Variable,Site,Product,Month,Mean,Std
ET,TALL,GLEAM4,3.0,49.84627352897436,4.2040162386932085
ET,TALL,GLEAM4,4.0,72.52360158871795,4.097124438237075
ET,TALL,GLEAM4,5.0,91.13784652641026,4.536857310088851
ET,TALL,GLEAM4,6.0,97.36754652076924,5.138132939189515
ET,TALL,GLEAM4,7.0,101.21988303128205,4.3709228767931
ET,TALL,GLEAM4,8.0,89.90133733897436,3.5005363208314746
ET,TALL,GLEAM4,9.0,68.27872916179487,3.5612224990373287
ET,TALL,GLEAM4,10.0,48.792201425641025,3.0546634313301047
ET,TALL,GLEAM4,11.0,31.294186064358975,2.747124626290688
ET,TALL,GLEAM4,12.0,23.580948105128204,2.201990227321152
ET,OSBS,ERA5,1.0,45.77701159666667,3.069393913336793
ET,OSBS,ERA5,2.0,59.96017242358974,4.4675683264982995
ET,OSBS,ERA5,3.0,83.85015273794872,4.019000932934476
ET,OSBS,ERA5,4.0,106.52142294923077,7.713697127587105
ET,OSBS,ERA5,5.0,108.66250244589745,11.862233653792686
ET,OSBS,ERA5,6.0,118.44421952974358,11.761009932272472
ET,OSBS,ERA5,7.0,126.06517486410256,9.725572494642666
ET,OSBS,ERA5,8.0,118.32375971025641,6.780860511906782
ET,OSBS,ERA5,9.0,103.0866714776923,7.794163731136715
ET,OSBS,ERA5,10.0,75.71873151538462,6.835890210446326
ET,OSBS,ERA5,11.0,53.34150973589743,5.592774252315717
ET,OSBS,ERA5,12.0,42.65924914564102,3.2119631323618223
ET,OSBS,GLEAM4,1.0,34.07990735948718,2.1270680016035377
ET,OSBS,GLEAM4,2.0,38.859499539487175,2.6072392771146804
ET,OSBS,GLEAM4,3.0,58.87976871666666,2.865586478613032
ET,OSBS,GLEAM4,4.0,77.32895804128205,3.1667542773851762
ET,OSBS,GLEAM4,5.0,90.67228218615385,3.2440284992354598
ET,OSBS,GLEAM4,6.0,95.11567231641025,4.177401705223965
ET,OSBS,GLEAM4,7.0,101.72168063717949,4.236379221897717
ET,OSBS,GLEAM4,8.0,94.34252246717949,3.282074148779632
ET,OSBS,GLEAM4,9.0,76.01403177897436,3.4656627566079488
ET,OSBS,GLEAM4,10.0,58.670390611025645,3.1043682200210903
ET,OSBS,GLEAM4,11.0,40.3498915425641,2.0236637178568446
ET,OSBS,GLEAM4,12.0,32.25802348333333,1.795110361844494
ET,ORNL,ERA5,1.0,17.21397067923077,4.063701287742667
ET,ORNL,ERA5,2.0,25.36096909794872,4.740485423545771
ET,ORNL,ERA5,3.0,48.20909180128205,5.726656204676292
ET,ORNL,ERA5,4.0,84.14254718794872,4.547824166988683
ET,ORNL,ERA5,5.0,112.32013436794871,5.284371894892068
ET,ORNL,ERA5,6.0,124.79174477615383,8.474845118319362
ET,ORNL,ERA5,7.0,122.8843187076923,7.771060555946823
ET,ORNL,ERA5,8.0,107.08821933589742,7.846759093824388
ET,ORNL,ERA5,9.0,80.73878958846154,7.511190325845051
ET,ORNL,ERA5,10.0,53.038451349230776,4.626739422639937
ET,ORNL,ERA5,11.0,32.589199845641026,3.2165469769224706
ET,ORNL,ERA5,12.0,20.28123433153846,3.299154808659813
ET,ORNL,GLEAM4,1.0,20.715208375641026,2.8083969550273338
ET,ORNL,GLEAM4,2.0,25.07993164076923,3.3133055442236783
ET,ORNL,GLEAM4,3.0,43.005976540000006,4.872966852844726
ET,ORNL,GLEAM4,4.0,63.28972802025641,4.813423890113084
ET,ORNL,GLEAM4,5.0,90.58908032948717,4.840712061486936
ET,ORNL,GLEAM4,6.0,100.71074651948717,5.685860796224485
ET,ORNL,GLEAM4,7.0,103.65525043871794,4.378818437579344
ET,ORNL,GLEAM4,8.0,92.37109176923077,4.07823300673166
ET,ORNL,GLEAM4,9.0,69.00520550025642,3.7383654744396018
ET,ORNL,GLEAM4,10.0,46.20586850358974,3.297422506557388
ET,ORNL,GLEAM4,11.0,27.845444593589743,3.2902118792595645
ET,ORNL,GLEAM4,12.0,20.010261358205128,2.248925407582866
ET,TALL,DEF,1.0,19.654122357142857,2.839164511864584
ET,TALL,DEF,2.0,27.862960785714286,3.396112066113877
ET,TALL,DEF,3.0,47.63651930952381,5.386447928158388
ET,TALL,DEF,4.0,74.26071566666667,5.3705831405923155
ET,TALL,DEF,5.0,104.42214376190475,4.815015170737835
ET,TALL,DEF,6.0,122.30392511904763,5.608831998541513
ET,TALL,DEF,7.0,124.37707380952381,6.3387476271551275
ET,TALL,DEF,8.0,105.08686790476192,7.629921187693875
ET,TALL,DEF,9.0,79.71886285714285,6.498582895887583
ET,TALL,DEF,10.0,55.13167126190476,4.446128246860765
ET,TALL,DEF,11.0,29.22473080952381,2.863871770511189
ET,TALL,DEF,12.0,20.160399833333333,3.1133124797519693
ET,TALL,CAL,1.0,26.081146309523813,2.9329870498597415
ET,TALL,CAL,2.0,33.34210947619048,2.976561858974523
ET,TALL,CAL,3.0,52.184650714285716,4.765779377800324
ET,TALL,CAL,4.0,76.26824026190477,5.784017321085546
ET,TALL,CAL,5.0,105.65409764285715,4.348825349834342
ET,TALL,CAL,6.0,123.12378133333334,7.545224980419548
ET,TALL,CAL,7.0,122.25964985714286,9.59501372752623
ET,TALL,CAL,8.0,100.89981473809523,9.79425212067297
ET,TALL,CAL,9.0,76.02956676190476,9.674613343678148
ET,TALL,CAL,10.0,54.60658145238095,7.248117819928679
ET,TALL,CAL,11.0,34.06185428571429,4.561906748344857
ET,TALL,CAL,12.0,27.016230619047615,2.557055119009899
ET,OSBS,DEF,1.0,35.348454499999995,3.735920715709356
ET,OSBS,DEF,2.0,47.2565815,3.843313063396129
ET,OSBS,DEF,3.0,67.46593395238095,4.3343813178288615
ET,OSBS,DEF,4.0,86.81724938095238,5.228109335844033
ET,OSBS,DEF,5.0,104.40276697619049,8.300598876437828
ET,OSBS,DEF,6.0,121.9337365,7.156661226857975
ET,OSBS,DEF,7.0,128.0209698095238,6.453642184453751
ET,OSBS,DEF,8.0,117.89948557142857,5.4641528613842425
ET,OSBS,DEF,9.0,95.09773530952381,5.478556856643202
ET,OSBS,DEF,10.0,67.58497952380952,4.648761908580697
ET,OSBS,DEF,11.0,45.340114,3.98158963145085
ET,OSBS,DEF,12.0,34.645908,3.239006837422958
ET,OSBS,CAL,1.0,53.17682826190476,8.230198623419355
ET,OSBS,CAL,2.0,65.89618007142857,7.230367483184138
